"name","year","ppt","springT"
"Hickory Grove Lake",2020,524.639001846313,8.94329977035522
"Hickory Grove Lake",2021,316.373394012451,10.1192332903544
"Hooper Area Pond",2017,451.909006118774,10.7046670913696
"Hooper Area Pond",2018,393.718997955322,9.70666718482971
"Hooper Area Pond",2019,711.685997009277,8.50643297036489
"Hooper Area Pond",2020,510.317997932434,10.0547663370768
"Hooper Area Pond",2021,478.368288993835,10.7596662839254
"Indian Lake",2017,485.643994808197,11.717000802358
"Indian Lake",2018,406.914999961853,10.4620006084442
"Indian Lake",2019,884.568992614746,9.8519667784373
"Indian Lake",2020,487.057992935181,10.556766351064
"Indian Lake",2021,568.904298782349,11.8533329963684
"Ingham Lake",2017,421.619997024536,7.62400015195211
"Ingham Lake",2018,444.109990119934,5.96166688203812
"Ingham Lake",2019,569.738989830017,5.40443293253581
"Ingham Lake",2020,441.687000274658,7.06326647599538
"Ingham Lake",2021,294.517293930054,8.39386638005575
"Lacey Keosauqua Lake",2017,457.832000732422,11.1060007413228
"Lacey Keosauqua Lake",2018,465.18999671936,9.84966723124186
"Lacey Keosauqua Lake",2019,879.156986236572,9.07549981276194
"Lacey Keosauqua Lake",2020,557.866998672485,10.1950662930806
"Lacey Keosauqua Lake",2021,551.336786270142,11.5402997334798
"Lake Ahquabi",2017,451.909006118774,10.7046670913696
"Lake Ahquabi",2018,393.718997955322,9.70666718482971
"Lake Ahquabi",2019,711.685997009277,8.50643297036489
"Lake Ahquabi",2020,510.317997932434,10.0547663370768
"Lake Ahquabi",2021,478.368288993835,10.7596662839254
"Lake Anita",2017,524.786001205444,10.1320004463196
"Lake Anita",2018,392.61199760437,9.21166714032491
"Lake Anita",2019,577.470998764038,7.9931330482165
"Lake Anita",2020,386.514002799988,9.39409987131754
"Lake Anita",2021,410.221195220947,10.2723665237427
"Lake Cornelia",2017,481.944002151489,8.07700051863988
"Lake Cornelia",2018,623.977001190186,6.86966686199109
"Lake Cornelia",2019,611.314004898071,6.44233338038127
"Lake Cornelia",2020,530.257009506226,8.02676645914713
"Lake Cornelia",2021,358.630992889404,9.24119981129964
"Lake Darling",2017,437.246999740601,10.482667128245
"Lake Darling",2018,519.991004943848,9.37733356157939
"Lake Darling",2019,826.956016540527,8.56299954652786
"Lake Darling",2020,462.95199918747,9.79423332214355
"Lake Darling",2021,588.472484588623,10.7526327768962
"Geode Lake",2017,512.287000656128,11.6933342615763
"Geode Lake",2018,463.314999580383,10.395666996638
"Geode Lake",2019,966.906002044678,9.65566643079122
